Field Sample ID,Location ID,Date Sampled,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Filtered,Leached,Start Depth,End Depth,Elevation
S1249A4,S1249,10/9/2012,Arsenic,6.46,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1250A4,S1250,10/9/2012,Arsenic,3.85,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1251A4,S1251,10/10/2012,Arsenic,5.71,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1252A4,S1252,10/2/2012,Arsenic,29.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1253A4,S1253,10/9/2012,Arsenic,6.52,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1254A4,S1254,10/9/2012,Arsenic,2.78,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1255A4,S1255,10/1/2012,Arsenic,9.51,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1256A4,S1256,10/4/2012,Arsenic,17.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1257A4,S1257,10/5/2012,Arsenic,6.05,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1258A4,S1258,10/9/2012,Arsenic,17,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1259A4,S1259,10/10/2012,Arsenic,30.8,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1261A4,S1261,10/11/2012,Arsenic,3.07,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1261,10/11/2012,Arsenic,23,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1263A4,S1263,10/10/2012,Arsenic,3.33,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1263,10/10/2012,Arsenic,2.42,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1265A4,S1265,10/10/2012,Arsenic,2.65,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1268A4,S1268,10/12/2012,Arsenic,2.41,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1270A4,S1270,10/5/2012,Arsenic,59,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1271A4,S1271,10/11/2012,Arsenic,5.74,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1273A4,S1273,10/8/2012,Arsenic,5.35,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1274A4,S1274,10/8/2012,Arsenic,13.1,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1275A4,S1275,10/4/2012,Arsenic,13.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1276A4,S1276,10/8/2012,Arsenic,8.84,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1277A4,S1277,10/8/2012,Arsenic,6.18,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1277,10/8/2012,Arsenic,7.07,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1278A4,S1278,10/8/2012,Arsenic,344,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1279A4,S1279,10/5/2012,Arsenic,16.7,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1280A4,S1280,10/5/2012,Arsenic,3.24,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1281A4,S1281,10/5/2012,Arsenic,8.53,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1282A4,S1282,10/5/2012,Arsenic,6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1283A4,S1283,10/5/2012,Arsenic,0.38,mg/kg,U,N,SOIL,REG,SB,N,N,1.5,2,0
S1284A4,S1284,10/3/2012,Arsenic,26.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1284,10/3/2012,Arsenic,21.9,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1285A4,S1285,10/5/2012,Arsenic,3.4,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1286A4,S1286,10/5/2012,Arsenic,8.37,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1287A4,S1287,10/3/2012,Arsenic,14.1,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1288A4,S1288,10/3/2012,Arsenic,26.8,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1289A4,S1289,10/3/2012,Arsenic,12.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1290A4,S1290,10/3/2012,Arsenic,36.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1291A4,S1291,10/4/2012,Arsenic,27.7,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1292A4,S1292,10/9/2012,Arsenic,220,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1293A4,S1293,10/4/2012,Arsenic,25.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1294A4,S1294,10/10/2012,Arsenic,56.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1295A4,S1295,10/2/2012,Arsenic,29.3,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1296A4,S1296,10/2/2012,Arsenic,6.37,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1297A4,S1297,10/2/2012,Arsenic,37.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1298A4,S1298,10/2/2012,Arsenic,83,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1299A4,S1299,10/2/2012,Arsenic,23.1,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1300A4,S1300,10/2/2012,Arsenic,7.57,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1304A4,S1304,10/10/2012,Arsenic,81.4,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1306D1,S1306,3/19/2013,Arsenic,3.15,mg/kg,,Y,SOIL,REG,SB,N,N,6,6.5,0
S1306E1,S1306,3/19/2013,Arsenic,3,mg/kg,,Y,SOIL,REG,SB,N,N,8,8.5,0
#N/A,S1306,3/19/2013,Arsenic,3.7,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1307E3,S1307,2/28/2013,Arsenic,2.27,mg/kg,U,N,SOIL,REG,SB,N,N,9,9.5,0
S1307D2,S1307,2/28/2013,Arsenic,4.33,mg/kg,,Y,SOIL,REG,SB,N,N,6.5,7,0
S1308D2,S1308,2/28/2013,Arsenic,5.07,mg/kg,,Y,SOIL,REG,SB,N,N,6.5,7,0
S1308D4,S1308,2/28/2013,Arsenic,2.32,mg/kg,,Y,SOIL,REG,SB,N,N,7.5,8,0
#N/A,S1308,2/28/2013,Arsenic,2.7,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1309C4,S1309,3/20/2013,Arsenic,6.24,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1310D2,S1310,7/8/2013,Arsenic,7.89,mg/kg,,Y,SOIL,REG,SB,N,N,6.5,7,0
S1311E1,S1311,3/21/2013,Arsenic,10.2,mg/kg,,Y,SOIL,REG,SB,N,N,8,8.5,0
S1312C2,S1312,3/20/2013,Arsenic,10.4,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1313C3,S1313,7/1/2013,Arsenic,6.23,mg/kg,,Y,SOIL,REG,SB,N,N,5,5.5,0
S1313D4,S1313,7/1/2013,Arsenic,2.2,mg/kg,J,Y,SOIL,REG,SB,N,N,7.5,8,0
S1314E3,S1314,3/21/2013,Arsenic,8.61,mg/kg,,Y,SOIL,REG,SB,N,N,9,9.5,0
S1315E2,S1315,3/21/2013,Arsenic,10.3,mg/kg,,Y,SOIL,REG,SB,N,N,8.5,9,0
S1316C1,S1316,3/22/2013,Arsenic,20.9,mg/kg,,Y,SOIL,REG,SB,N,N,4,4.5,0
S1316C4,S1316,3/22/2013,Arsenic,14.6,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1317C2,S1317,7/1/2013,Arsenic,13.3,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1317E1,S1317,7/1/2013,Arsenic,18.7,mg/kg,,Y,SOIL,REG,SB,N,N,8,8.5,0
S1333A4,S1333,10/4/2012,Arsenic,25.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1334A4,S1334,10/8/2012,Arsenic,11.3,mg/kg,,Y,SOIL,REG,SB,N,N,0,0,0
S1335A4,S1335,10/4/2012,Arsenic,8.65,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1336A4,S1336,10/5/2012,Arsenic,3.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1337A4,S1337,10/2/2012,Arsenic,26.6,mg/kg,,Y,SOIL,REG,SB,N,N,0,0,0
S1338A4,S1338,10/17/2012,Arsenic,7.39,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1339A4,S1339,10/17/2012,Arsenic,15.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1340A4,S1340,10/17/2012,Arsenic,86.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1341A4,S1341,10/16/2012,Arsenic,20.2,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1342A4,S1342,10/16/2012,Arsenic,12,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1343A4,S1343,10/16/2012,Arsenic,17.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1344A4,S1344,10/16/2012,Arsenic,12.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1345A4,S1345,10/16/2012,Arsenic,7.75,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1346A4,S1346,10/18/2012,Arsenic,40,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1347A4,S1347,10/22/2012,Arsenic,81.7,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1348A4,S1348,10/22/2012,Arsenic,1.16,mg/kg,J,Y,SOIL,REG,SB,N,N,1.5,2,0
S1349A4,S1349,10/15/2012,Arsenic,41.1,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1350A4,S1350,10/23/2012,Arsenic,24.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1351A4,S1351,10/15/2012,Arsenic,18.9,mg/kg,,Y,SOIL,SP,SB,N,N,1.5,2,0
S1352A4,S1352,10/15/2012,Arsenic,9.55,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1353A4,S1353,10/15/2012,Arsenic,14,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1354A4,S1354,10/15/2012,Arsenic,80.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1355A4,S1355,10/15/2012,Arsenic,32.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1356A4,S1356,10/15/2012,Arsenic,21.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1357A4,S1357,10/15/2012,Arsenic,31,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1358A4,S1358,10/15/2012,Arsenic,50,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1358,10/15/2012,Arsenic,24.7,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1359A4,S1359,10/23/2012,Arsenic,30.5,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
#N/A,S1359,10/23/2012,Arsenic,34.8,mg/kg,,Y,SOIL,FD,SB,N,N,1.5,2,0
S1360A4,S1360,10/18/2012,Arsenic,42.8,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1361A4,S1361,10/18/2012,Arsenic,21.9,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
